Entity Name,Type,Address,BEN Number,FRN Number,DUB Number,SAM ID,Contract Number,Students Over 3,Students with Lunch,CEP Score,Physical Size,District Percentage,State,City,Zip,Total Funding Committed,Funding Years Active
"Maimonides Academy","School","FL","37171","1699031070","","","","","","","","","FL","","","$148,474.48","2025, 2024, 2023, 2022, 2021"
"Maimonides Hebrew Day School","School","NY","195230","1699034965","","","","","","","","","NY","","","$2,261.93","2025, 2024, 2023, 2022, 2021"
"Maimonides Hebrew Day School","School","FL","16061149","1699000224","","","","","","","","","FL","","","$20,079.47","2025, 2024, 2023, 2022, 2021"
"Yeshiva Ohr Tora Community School, Inc.","School","NY","152799","1699016223","","","","","","","","","NY","","","$196,148.93","2025, 2024, 2023, 2022, 2021"
"Mesilas Bais Yaakov","School","NY","16068590","1699016375","","","","","","","","","NY","","","$50,136.39","2025, 2024, 2023, 2022, 2021"
"Melvin J Berman Hebrew Academy","School","MD","17003573","1699059031","","","","","","","","","MD","","","$81,779.95","2025, 2024, 2016"
"Mestiva Ateres Yaakov","School","NY","221667","1699047319","","","","","","","","","NY","","","$29,944.97","2025, 2024, 2023, 2022, 2021"
"Mesivta Kesser Torah Of Baltimore","School","MD","17024310","2099086985","","","","","","","","","MD","","","$19,116.39","2025, 2024, 2023, 2022, 2021"
"Miraj Islamic School","School","NY","210244","1699119857","","","","","","","","","NY","","","$209,291.62","2025, 2024, 2023, 2022, 2021"
"The Newgrange  School Of Princeton Inc.","School","NJ","17020175","1999011367","","","","","","","","","NJ","","","","2024, 2023, 2022, 2021, 2020"
"New Horizon Community School","School","NJ","231939","1699117110","","","","","","","","","NJ","","","$428,505.69","2025, 2024, 2023, 2022, 2021"
"The New  Life Child Development Center","School","NY","16069276","1699020568","","","","","","","","","NY","","","$41,584.95","2024, 2023, 2022, 2021, 2020"
"North Tampa Christian Academy","School","FL","17017737","1999071364","","","","","","","","","FL","","","$85,389.71","2025, 2024, 2023, 2022, 2021"
"North Side School Dba Circle Academy","School","NY","11396","1699029450","","","","","","","","","NY","","","$84,121.18","2024, 2023, 2022, 2021, 2020"
"Northside Charter High School","School","NY","16056315","1699098509","","","","","","","","","NY","","","$395,489.98","2025, 2024, 2023, 2022, 2021"
"North Star Christian Academy","School","NY","15820","1699015311","","","","","","","","","NY","","","$24,024.88","2025, 2023, 2022, 2021, 2020"
"Ohr Chadash Academy","School","MD","17032409","2499057373","","","","","","","","","MD","","","$7,968.48","2025, 2024"
